0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.87388,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.8738,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.87388,5.5834,4.8359,6.1738
0,5.3588,7.0563,8.0348,6.7335,9.2731,6.8364,4.4433,8.3702,6.1446,5.9705,8.4083,6.035,5.1523,6.2105,7.0594,7.0904,5.87388,5.5834,4.8359,6.1738
